Utterance,Intent
Ich möchte auf MagentaTV Mulholland Drive von David Lynch sehen,TV__SEARCH
Zeig mir bei MagentaTV Filme aus den 60er Jahren,TV__SEARCH
Ich suche Genial Daneben auf EntertainTV,TV__SEARCH
Auf MagentaTV möchte ich Rote Rosen sehen,TV__SEARCH
Ich suche bei MagentaTV Dokus auf zdf neo,TV__SEARCH
Suche Filme aus den 70ern auf MagentaTV,TV__SEARCH
Such mal bei MagentaTV Komödien von Ben Stiller als Filme zum Ausleihen,TV__SEARCH
Zeig mir Tatort auf MagentaTV als Video on Demand,TV__SEARCH
Ich suche bei MagentaTV Fantasyfilme für Samstag Nachmittag,TV__SEARCH
Ich suche Star Wars als Film zum Ausleihen auf MagentaTV,TV__SEARCH
Ich möchte auf MagentaTV Tatort in der ARD Mediathek sehen,TV__SEARCH
Suche Keanu Reeves aus den 90ern auf MagentaTV,TV__SEARCH
Zeig mir auf MagentaTV Video on Demand mit Jennifer Aniston,TV__SEARCH
Suche nach Dokus für Sonntag Mittag bei MagentaTV,TV__SEARCH
Ich suche was auf RTL mit Jennifer Aniston in MagentaTV,TV__SEARCH
Suche auf MagentaTV nach Friends,TV__SEARCH
Suche auf MagentaTV Filme zum Kaufen mit Meryl Streep,TV__SEARCH
Ich suche Krimis in MagentaTV,TV__SEARCH
Suche Rote Rosen in der ZDF Mediathek auf EntertainTV,TV__SEARCH
Zeig mir auf MagentaTV Eine schrecklich nette Familie aus den 90er Jahren,TV__SEARCH
Finde Liebesfilme mit Jennifer Aniston auf MagentaTV,TV__SEARCH
Ich suche bei MagentaTV Liebesfilme,TV__SEARCH
Suche auf MagentaTV Thriller auf ARD,TV__SEARCH
Zeig mir YouTube auf MagentaTV,TV__SEARCH
Zeig mir was aus den 90ern bei EntertainTV,TV__SEARCH
Such mir Tatort auf Entertain,TV__SEARCH
Suche nach Actionfilmen bei MagentaTV,TV__SEARCH
Suche auf MagentaTV Thriller mit Liam Neeson als Video on Demand,TV__SEARCH
Such mal Actionfilme für Freitag Abend in MagentaTV,TV__SEARCH
Such mal bei MagentaTV Actionfilme mit Bruce Willis,TV__SEARCH
Suche auf MagentaTV Thriller in der ARD Mediathek,TV__SEARCH
Auf MagentaTV möchte ich Traumschiff in der ZDF Mediathek sehen,TV__SEARCH
Suche in MagentaTV nach Game of Thrones als Video on Demand,TV__SEARCH
Suche auf MagentaTV nach Baywatch aus den 80ern,TV__SEARCH
Ich möchte auf MagentaTV etwas mit Harrison Ford aus den 80ern sehen,TV__SEARCH
Finde Serien aus den 80ern bei MagentaTV,TV__SEARCH
Suche auf MagentaTV Traumschiff auf ZDF am Samstag Abend,TV__SEARCH
Suche heute journal auf MagentaTV,TV__SEARCH
Auf EntertainTV möchte ich Dokus sehen,TV__SEARCH
Zeig mir Thriller mit Keanu Reeves auf MagentaTV,TV__SEARCH
Suche auf MagentaTV Thriller als Video on Demand,TV__SEARCH
Suche Filme auf ARD auf MagentaTV,TV__SEARCH
Auf MagentaTV möchte ich Tatort mit Christian Ulmen am Samstag Abend gucken,TV__SEARCH
Zeig mir Indiana Jones von Spielberg auf MagentaTV,TV__SEARCH
Suche bei MagentaTV nach PRO7,TV__SEARCH
Zeig mir auf MagentaTV was mit Nora Tschirner,TV__SEARCH
Auf MagentaTV möchte ich Tatort auf WDR am Freitag Abend gucken,TV__SEARCH
Suche mal auf MagentaTV nach Star Wars mit Harrison Ford,TV__SEARCH
Zeige mir auf MagentaTV was von Jodie Foster auf RTL2,TV__SEARCH
Suche was aus den 80ern mit Keanu Reeves bei MagentaTV,TV__SEARCH
Zeige mir was von Bruce Willis aus den 90ern in MagentaTV,TV__SEARCH
Ich möchte Game of Thrones auf MagentaTV sehen,TV__SEARCH
Suche was mit Bruce Willis auf ARD bei MagentaTV,TV__SEARCH
Suche Serie Friends mit Jennifer Aniston bei MagentaTV,TV__SEARCH
Suche nach Filmen zum Ausleihen von Spielberg auf MagentaTV,TV__SEARCH
Auf MagentaTV möchte ich Odysee im Weltraum von Kubrick sehen,TV__SEARCH
Ich möchte Amazon Prime Video auf MagentaTV schauen,TV__SEARCH
Suche RTL in MagentaTV,TV__SEARCH
Suche auf MagentaTV was von Jodie Foster auf ZDF,TV__SEARCH
Ich suche bei MagentaTV Actionfilme zum Ausleihen,TV__SEARCH
Suche Netflix in MagentaTV,TV__SEARCH
Suche auf MagentaTV nach Baywatch mit David Hasselhoff am Sonntag Nachmittag,TV__SEARCH
Zeig mir Fantasyfilme auf MagentaTV,TV__SEARCH
Ich suche auf EntertainTV die ARD Mediathek,TV__SEARCH
Zeige mir Big Bang Theory mit Jim Parsons auf MagentaTV,TV__SEARCH
Ich möchte auf MagentaTV Komödien sehen,TV__SEARCH
Zeige mir auf MagentaTV was von Jennifer Aniston aus den 90ern,TV__SEARCH
Suche in MagentaTV Sendungen aus den 80ern,TV__SEARCH
Suche Bruce Willis auf MagentaTV,TV__SEARCH
Auf MagentaTV möchte ich Netflix gucken,TV__SEARCH
Suche Ally McBeal aus den 90ern auf MagentaTV,TV__SEARCH
Suche mir Krimis auf MagentaTV,TV__SEARCH
Auf MagentaTV möchte ich einen Film mit Jodie Foster sehen,TV__SEARCH
Suche auf MagentaTV Thriller mit Liam Neeson,TV__SEARCH
Finde Filme auf kabel eins bei MagentaTV,TV__SEARCH
Suche die Sendung Tagesschau auf EntertainTV,TV__SEARCH
Suche nach Video on Demand mit Jodie Foster auf MagentaTV,TV__SEARCH
Suche auf MagentaTV nach Friends mit David Schwimmer,TV__SEARCH
Auf MagentaTV möchte ich Baywatch aus den 80er Jahren sehen,TV__SEARCH
Suche bei MagentaTV Filme mit Scarlett Johansson,TV__SEARCH
Suche mal auf MagentaTV nach Beverly Hills aus den 90ern,TV__SEARCH
Zeig mir auf MagentaTV alles mit Jennifer Aniston,TV__SEARCH
Möchte auf MagentaTV Netflix schauen,TV__SEARCH
Suche mal auf MagentaTV nach Game of Thrones als Serie zum Leihen,TV__SEARCH
Suche mir Tatort mit Nora Tschirner auf MagentaTV,TV__SEARCH
Suche auf MagentaTV nach Genial Daneben,TV__SEARCH
Zeige mir auf MagentaTV Krimis als Video on Demand,TV__SEARCH
Suche Rote Rosen auf ZDF am Freitag Nachmittag auf MagentaTV,TV__SEARCH
Ich möchte auf MagentaTV Filme aus den 2000ern sehen,TV__SEARCH
Ich suche Dallas aus den 70ern auf MagentaTV,TV__SEARCH
Suche die Sendung Tatort mit Jan Josef Liefers bei MagentaTV,TV__SEARCH
Finde in MagentaTV Magnolia von Paul Thomas Anderson,TV__SEARCH
Mit dem Aufnehmen von Entertain aufhören,TV__STOP_RECORDING
Stopp Aufnahme von Kanal 3 bei MagentaTV,TV__STOP_RECORDING
Die Aufnahme von Kanal 12 auf EntertainTV abbrechen,TV__STOP_RECORDING
Aufnehmen von EntertainTV beenden,TV__STOP_RECORDING
MagentaTV Aufnahme VOX stoppen,TV__STOP_RECORDING
Aufnahme von RTL 2 auf MagentaTV abbrechen,TV__STOP_RECORDING
Die Aufnahme von Entertain abbrechen,TV__STOP_RECORDING
Stopp die MagentaTV Aufnahme von Kanal 45,TV__STOP_RECORDING
MDR Aufnahme beenden auf MagentaTV,TV__STOP_RECORDING
Stoppe MagentaTV Aufnahme von ARTE,TV__STOP_RECORDING
Aufnahme auf EntertainTV beenden,TV__STOP_RECORDING
Aufnahme von Kanal 7 auf Entertain beenden,TV__STOP_RECORDING
Stoppe die Aufnahme von Entertain auf Kanal 5,TV__STOP_RECORDING
MagentaTV Ende der Aufnahme,TV__STOP_RECORDING
Stopp das Aufnehmen von MagentaTV,TV__STOP_RECORDING
Stoppe die Aufnahme von zdf auf MagentaTV,TV__STOP_RECORDING
MagentaTV Kanal 4 Aufnahme beenden,TV__STOP_RECORDING
Stopp die EntertainTV Aufnahme von sixx,TV__STOP_RECORDING
MagentaTV Aufnahme Stopp,TV__STOP_RECORDING
Aktuelle Aufnahme von MagentaTV stoppen,TV__STOP_RECORDING
Aufnahme von Kanal 2 auf MagentaTV abbrechen,TV__STOP_RECORDING
Aufnahme von ARTE bei MagentaTV abbrechen,TV__STOP_RECORDING
Stopp die Aufnahme auf MagentaTV,TV__STOP_RECORDING
Die Aufnahme im Ersten auf MagentaTV beenden,TV__STOP_RECORDING
Aufnahme auf EntertainTV von Kanal 23 beenden,TV__STOP_RECORDING
Stoppe Entertain Aufnahme,TV__STOP_RECORDING
Stoppe MagentaTV Aufnahme von Kanal 7,TV__STOP_RECORDING
MagentaTV Aufnahme von RTL stoppen,TV__STOP_RECORDING
Aufnahme auf Entertain von kika abbrechen,TV__STOP_RECORDING
MagentaTV ZDF Aufnahme beenden,TV__STOP_RECORDING
Stoppe die Aufnahme von MagentaTV,TV__STOP_RECORDING
Aufnahme von MagentaTV stoppen,TV__STOP_RECORDING
Stopp Aufnahme von kabel eins bei MagentaTV,TV__STOP_RECORDING
MagentaTV Aufnahme stoppen,TV__STOP_RECORDING
Stopp die MagentaTV Aufnahme,TV__STOP_RECORDING
MagentaTV Aufnahme von Kanal 3 stoppen,TV__STOP_RECORDING
Aufnahme von Kanal 4 bei MagentaTV beenden,TV__STOP_RECORDING
Aufnahme von ProSieben auf Entertain beenden,TV__STOP_RECORDING
Kanal 12 Aufnahme beenden auf MagentaTV,TV__STOP_RECORDING
Beende MagentaTV Aufnahme,TV__STOP_RECORDING
MagentaTV umschalten auf VOX,TV__SWITCH_CHANNEL
MagentaTV SAT.1,TV__SWITCH_CHANNEL
MagentaTV auf 3Sat,TV__SWITCH_CHANNEL
Schalte EntertainTV auf Tele 5,TV__SWITCH_CHANNEL
Schalte MagentaTV auf Kanal 20 um,TV__SWITCH_CHANNEL
Schalte MagentaTV zu RTL,TV__SWITCH_CHANNEL
auf MagentaTV zu Sender 1 umschalten,TV__SWITCH_CHANNEL
Schalte MagentaTV um auf ProSieben,TV__SWITCH_CHANNEL
MagentaTV schalte auf Kanal 7,TV__SWITCH_CHANNEL
MagentaTV schalte BR ein,TV__SWITCH_CHANNEL
EntertainTV schalte um auf kabel eins,TV__SWITCH_CHANNEL
MagentaTV wechsle zur ARD,TV__SWITCH_CHANNEL
zu Kanal 2 bei EntertainTV,TV__SWITCH_CHANNEL
MagentaTV auf ARTE umschalten,TV__SWITCH_CHANNEL
EntertainTV schalte um auf Sender 17,TV__SWITCH_CHANNEL
Schalte MagentaTV auf Kanal 20,TV__SWITCH_CHANNEL
EntertainTV bitte auf MDR,TV__SWITCH_CHANNEL
Auf MagentaTV auf Kanal 23,TV__SWITCH_CHANNEL
MagentaTV schalte um auf Kanal 1,TV__SWITCH_CHANNEL
Schalte MagentaTV auf ARD um,TV__SWITCH_CHANNEL
MagentaTV schalte auf Kanal 3,TV__SWITCH_CHANNEL
MagentaTV auf Kanal 13,TV__SWITCH_CHANNEL
wechsle auf MagentaTV zu DMAX,TV__SWITCH_CHANNEL
bei MagentaTV zu kabel eins,TV__SWITCH_CHANNEL
MagentaTV ZDF bitte,TV__SWITCH_CHANNEL
MagentaTV Kanal 4,TV__SWITCH_CHANNEL
MagentaTV auf VOX schalten,TV__SWITCH_CHANNEL
EntertainTV um 3 leiser machen,TV__VOLUME
Lautstärke auf MagentaTV hochregeln,TV__VOLUME
erhöhe die Fernsehlautstärke auf MagentaTV,TV__VOLUME
EntertainTV Lautstärke 10 nach oben,TV__VOLUME
auf MagentaTV den Ton leiser stellen,TV__VOLUME
mache MagentaTV leiser,TV__VOLUME
schalte EntertainTV leiser,TV__VOLUME
die Lautstärke leise bei MagentaTV,TV__VOLUME
stell MagentaTV auf Lautstärke 7,TV__VOLUME
mach EntertainTV leiser bitte,TV__VOLUME
MagentaTV um 1 Stufe lauter machen,TV__VOLUME
mach den Ton lauter bei MagentaTV,TV__VOLUME
MagentaTV lauter machen,TV__VOLUME
MagentaTV Lautstärke auf 10 erhöhen,TV__VOLUME
MagentaTV um 15 Stufen aufdrehen,TV__VOLUME
mach MagentaTV auf Lautstärke Stufe 23,TV__VOLUME
in MagentaTV Lautstärke erhöhen,TV__VOLUME
EntertainTV Ton auf Stufe 9,TV__VOLUME
MagentaTV leiser,TV__VOLUME
mach den Ton leiser bei MagentaTV,TV__VOLUME
stelle EntertainTV auf Lautstärke 5,TV__VOLUME
schalte MagentaTV auf leiser,TV__VOLUME
Lautstärke 2 auf EntertainTV,TV__VOLUME
schalte den MagentaTV Ton auf 14,TV__VOLUME
weniger Lautstärke auf MagentaTV,TV__VOLUME
schalt EntertainTV auf laut,TV__VOLUME
MagentaTV um 8 leiser machen,TV__VOLUME
EntertainTV Ton 6 Stufen lauter,TV__VOLUME
schalte MagentaTV auf lauter,TV__VOLUME
erhöhe bei MagentaTV die Lautstärke,TV__VOLUME
MagentaTV lauter stellen,TV__VOLUME
EntertainTV Lautstärke erhöhen,TV__VOLUME
Stärke 16 auf MagentaTV,TV__VOLUME
MagentaTV 4 Schritte leiser machen,TV__VOLUME
mach bitte den Entertain lauter,TV__VOLUME
mach MagentaTV lauter,TV__VOLUME
mehr Lautstärke auf MagentaTV,TV__VOLUME
MagentaTV auf Stärke 15,TV__VOLUME
mach mal lauter im Entertain,TV__VOLUME
auf MagentaTV leiser,TV__VOLUME
mach bitte den Entertain leiser,TV__VOLUME
MagentaTV 5 Stufen lauter,TV__VOLUME
4 Schritte lauter machen auf MagentaTV,TV__VOLUME
MagentaTV leiser machen,TV__VOLUME
mache MagentaTV Lautstärke leiser,TV__VOLUME
EntertainTV etwas leiser,TV__VOLUME
5 Stufen leiser auf MagentaTV,TV__VOLUME
MagentaTV bitte leiser,TV__VOLUME
schalte MagentaTV auf Lautstärke 8,TV__VOLUME
MagentaTV bitte lauter,TV__VOLUME
EntertainTV um 3 lauter machen,TV__VOLUME
mach den Entertain auf Lautstärke 30,TV__VOLUME
Lautstärke auf 3 MagentaTV,TV__VOLUME
erhöhe die Lautstärke bei EntertainTV,TV__VOLUME
auf MagentaTV lauter,TV__VOLUME
EntertainTV leiser stellen,TV__VOLUME
stelle EntertainTV lauter,TV__VOLUME
den EntertainTV Ton auf 14 schalten,TV__VOLUME
EntertainTV leise,TV__VOLUME
MagentaTV Ton 20,TV__VOLUME
MagentaTV leiser schalten,TV__VOLUME
auf Lautstärke 6 EntertainTV,TV__VOLUME
stelle MagentaTV leiser,TV__VOLUME
6 Stufen lauter auf MagentaTV,TV__VOLUME
EntertainTV Lautstärke 10 nach unten,TV__VOLUME
Ton um 2 nach oben auf MagentaTV,TV__VOLUME
mach mal leiser in MagentaTV,TV__VOLUME
MagentaTV laut,TV__VOLUME
MagentaTV laut schalten,TV__VOLUME
schalte EntertainTV lauter,TV__VOLUME
EntertainTV Lautstärke auf 10,TV__VOLUME
Ton auf Stärke 18 auf EntertainTV,TV__VOLUME
weniger Lautstärke bei MagentaTV,TV__VOLUME
Entertain Ton um 2 nach unten,TV__VOLUME
EntertainTV auf Lautstärke 20 erhöhen,TV__VOLUME
EntertainTV Ton 6 Stufen leiser,TV__VOLUME
mach 15 Stufen leiser auf MagentaTV,TV__VOLUME
MagentaTV Lautstärke 20,TV__VOLUME
MagentaTV auf Lautstärke 8 stellen,TV__VOLUME
MagentaTV lauter,TV__VOLUME
MagentaTV auf Lautstärke 30,TV__VOLUME
MagentaTV etwas lauter,TV__VOLUME
leiser EntertainTV,TV__VOLUME
MagentaTV auf Lautstärke 9 schalten,TV__VOLUME
Suche auf MagentaTV nach Thrillern für Samstag Abend,TV__SEARCH
